addicupo_state,remaining_addicupo,id
BLOCKED_BY_CONDONATION,0,05449c5d-e5f9-4aff-9c30-d13e4dd5c14d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0569f343-6790-4943-907e-e32b4563664d_103
AVAILABLE,550535.2283,059f7de7-ab6b-49d8-9b24-e333a0608a66_103
AVAILABLE,629580.6589,05a096bb-6fb6-4ecf-9822-d78c5c8ecc8d_103
AVAILABLE,426257.7528,05c02f4d-f46b-4bdc-b0c4-c374532ed563_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,05cb2cb8-ed06-4476-8eff-0208e606208b_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,05e1b4de-d9a2-4c6c-90a4-ebd2ca72cc87_103
AVAILABLE,1500000,05e4d2ef-616c-4c38-9ded-aac3afb0333e_103
AVAILABLE,1371862.989,0640d59a-50fd-4618-af63-a8a8a8711d6e_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,0645d681-eb17-4d1e-bce9-978e46796664_103
AVAILABLE,1232019.777,06501bb7-6e37-4598-90e0-1be0071c356a_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,065181c5-2683-4914-8dc9-ea452f6ad24d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,065d0e4b-7cf4-4f50-8e67-7b1977b74994_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0667bd61-c482-4275-b91d-fa64845a7374_103
AVAILABLE,241240.2231,066be4ce-9e4e-497f-a99f-ab9194c2967d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,06732883-f090-4668-a4d4-b7a3ac008175_103
AVAILABLE,469600.1095,06b5976a-0c81-4cf3-943b-b6a333cb1d11_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,06b690fe-ff6a-48e8-b130-98627609b7fa_103
BLOCKED_BY_FRAUD,0,06b8ab77-5196-432c-aca9-99660a197e78_103
AVAILABLE,709882.4286,06e54f7b-9687-4ab6-9740-230d030fbf4e_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,06f19479-f532-46a0-9184-35826c97a28e_103
AVAILABLE,590911.1655,06fc4969-4db7-46b1-a3d6-417a935979b5_103
AVAILABLE,2047172.629,0704be55-5b06-4645-b548-12f05eb81f95_103
AVAILABLE,1664992,0710e5eb-8da6-4170-ac9e-4a925cd4ad36_103
AVAILABLE,1493404.93,075e4b31-4869-4263-bf7f-6726e2854e0b_103
AVAILABLE,1597500,076a94cc-1e21-4a9e-854a-7e7ac3059bd0_103
AVAILABLE,718796.0611,07a54e7f-d160-4321-8707-6c8eb482d26a_103
AVAILABLE,1493915.635,0814e402-6cbc-4bd1-8d0a-7b6b53aadd82_103
AVAILABLE,1247640.613,0816e1c8-22d5-44db-8a17-2f2078c534de_103
AVAILABLE,800000,082099a7-bdc1-4cd0-a433-11579134fdf1_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0830fde8-9fea-42c5-be87-f533c8bde599_103
AVAILABLE,1799790.751,0890865f-d729-48e6-942a-82e7dd5a871b_103
AVAILABLE,1599999.75,08964c53-01cf-4895-b6b3-8163a58cd228_103
AVAILABLE,0,08a5c6ef-9bec-4172-b8aa-8abccdd75fac_103
AVAILABLE,0,08b43ea8-8488-4c5f-83a6-9857c26c2296_103
AVAILABLE,800000,08d59b4a-fe76-4e35-abbd-59112e0034d5_103
AVAILABLE,1799495.259,08dd4064-ed45-42e9-bde4-037407efeefe_103
AVAILABLE,1956863.624,08e0226e-e0a3-42cb-a887-53b79327e103_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,090a3374-79e0-4ffb-95cf-5e5e4ce647ed_103
AVAILABLE,1800000,0924f455-1a05-4536-b46b-625c2c709596_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,092fe2b1-cfc2-45c4-8026-f98024dcca74_103
AVAILABLE,1281519.598,094dd3c3-b2d0-4d91-83e1-51ad8b40f77e_103
AVAILABLE,2199999.776,0963b1dd-0f64-4e3c-a624-4d32a3c91f55_103
AVAILABLE,1499923.632,0972b2ea-ca30-461b-893d-fdb89957efe5_103
AVAILABLE,1288000,09c821d5-8a14-4bf4-9cf4-876ca32c3ee6_103
AVAILABLE,799957.3979,09e7cc1b-2075-485b-aa38-04b4b8aa730b_103
AVAILABLE,1800000,09f05649-5ae9-4b2b-af83-bce0485ae7b6_103
AVAILABLE,1650000,09f2ae59-c49c-4215-8ef0-43b05cca4646_103
AVAILABLE,1890000,0a06ad4a-44f9-4539-8a91-715afe50fc83_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0a0ee4c6-394e-4d90-a27e-3944bc080ab7_103
AVAILABLE,1124959.051,0a141666-8ef0-4c9f-b6c8-dc0de31755ec_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0a1468bf-b9a7-477a-a893-6fa374ba533c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0a39aa44-eba3-4b67-bd72-a7df525b854d_103
AVAILABLE,902989.7895,0a3c79b7-d2dc-4a74-ac25-c5e4fa3c5cab_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0a46967e-aa32-4df5-81f0-d0aa33cfde61_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,0a4cb795-b139-47c1-bbd4-899318d59bed_103
AVAILABLE,1271499.778,0a4cbd06-ae9c-4fe0-bf98-df5a6a1136c7_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,0ac152b4-7553-484b-ac83-eb9cd345885e_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0ac5ff2b-c463-4b5a-9e87-ac12ecda92a4_103
AVAILABLE,0,0ad0d21b-8c8d-4af3-9610-f24e43c829b4_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0af1ed82-9462-495b-ab04-278ecf0caf69_103
AVAILABLE,1441569.642,0af82b62-9993-4eee-8dce-3d302605790b_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0b8a4857-3f42-4c62-b00c-8fa3191dbee8_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0b9d5cf2-20a6-45fa-8f9f-fa53f57115f9_103
AVAILABLE,2461898.34,0ba9085f-403e-4a10-86d0-ac649f1286ad_103
AVAILABLE,0,0beca810-3ace-4a35-9456-a906ec7fd66a_103
AVAILABLE,2199999.002,0bf1b893-aa76-4efc-a9ed-85aab4bd243f_103
AVAILABLE,2499999.67,0bfdc7e8-b66f-43c0-874d-4deafa5ee3a3_103
AVAILABLE,1493895.831,0c0c024a-35bd-4442-b6b8-7596cb9b916e_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0c391915-3ece-40fe-8a72-f886c3730014_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0c5ca942-c05c-4e3f-8252-c0ac80cf2f8e_103
AVAILABLE,1441700.511,0c8eb27e-7542-40c7-9ade-748aaa4bf620_103
AVAILABLE,2047109.215,0c8ee199-b221-44d4-bf43-bdc4703f7b78_103
AVAILABLE,1349999.996,0cab311d-696b-4fc7-9051-93d3adb37f6f_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0cd0c82c-1f22-4e29-95f1-83798b4400cc_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0cd5c264-e560-4170-adb6-d051f71a295d_103
AVAILABLE,901529.2799,0ce1453d-15f5-4de7-a9ad-f11cb86d365e_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0ce5de77-67e4-4d5f-a5cd-cf11e4c6a96c_103
AVAILABLE,800000,0ce7b85c-6540-4679-9c16-51cade46e4b4_103
AVAILABLE,0,0d05e8bc-ddd2-4b78-a30f-14e093a03fa9_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0d06fa5c-cc1c-47db-8d7d-2dc9a3c25676_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0d239dad-a852-4a16-b378-9af12063c3c4_103
AVAILABLE,1539390.657,0d3adf92-e87f-488f-9cbd-35e9695f2316_103
BLOCKED_BY_ECM_POLICY_CAN_TRANSACT,0,0d5ad6f3-0e99-4226-b4c5-036bfe9f8229_103
AVAILABLE,1799223.779,0d715d53-d92e-4566-b536-f9295bc6581c_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0d71bb07-72ef-4f0a-84b7-74379c465bef_103
AVAILABLE,1800000,0d9a051a-727e-473b-82e6-a8654f631399_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0df44560-a18c-43ee-98f0-54c7cf73a03d_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0e2b014f-d4da-42a1-83fd-e8d53871b7a3_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0e2d4290-0152-4aa4-bf56-f8fe3bbabd77_103
AVAILABLE,2414979.647,0e40b7b2-70ec-48f9-a3bb-4a34522b3818_103
AVAILABLE,1427647.698,0e4c0a68-82ac-40ac-a711-6d7322d45eac_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0e554efb-1595-48b4-9e77-dbf6619731d7_103
AVAILABLE,681461.5703,0e919798-f165-4665-8bf4-cb0a30e39d17_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0ec66a9d-76b3-41c6-b39a-46e906cc25f4_103
AVAILABLE,61590.11741,0f19a8b7-71ad-4653-9b24-8e7b43a2bf00_103
AVAILABLE,0,0f1c0dfd-ffe7-4268-8bcf-8c794d1f8181_103
AVAILABLE,874442.3289,0f259542-02ac-4247-bd8d-ba5cce31e9c8_103
AVAILABLE,1757585,0f3b4f49-dade-4b1f-a88a-7af65922579c_103
AVAILABLE,0,0f3d0a61-b31e-47dc-9e5e-76a131a28be3_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0f5c2950-7bd5-4f4c-b323-832e1adbc7bb_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0f76f0fa-1098-483d-9465-ae695b096753_103
AVAILABLE,800000,0f9a52e4-f94c-4bd7-8d6e-119f84a038e9_103
AVAILABLE,1493982.566,0f9d3a56-28d0-4bd6-ada6-fdb8db85a42c_103
AVAILABLE,2199996.357,0f9e29a5-497c-49c0-8a5c-7645b4dbeef2_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,0fb58348-701e-4d83-aacb-7c4e5b82a60c_103
AVAILABLE,2000000,100dcfd4-e6de-4d60-b651-b745f8dad4c7_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,10150ee4-6812-4481-916b-4a6d89d29880_103
AVAILABLE,800000,102f5910-56f7-49b6-aa54-b7de0f99226a_103
AVAILABLE,3187714.906,105ccb5f-b28b-4cd4-913f-c838313cd9fb_103
AVAILABLE,884467.1227,106fe3eb-33aa-4ab3-9806-1369db277649_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,108b7c9b-fd3c-49e0-89a6-a507ef9d77ac_103
AVAILABLE,1650000,10c382bc-35d2-47ab-8bab-d185c295dec7_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,10c49d2c-c980-48ee-b854-bddc4f110874_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,10f226df-cb1f-4fa9-ac37-d06dd6503f7f_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,10f2c22e-076d-4bbb-8f07-be8f0a071a47_103
AVAILABLE,1459486.124,10f821ae-81d2-41c1-a008-c161271c0c8f_103
AVAILABLE,1800000,11047e41-0f84-4b41-ab16-20d397d1477c_103
AVAILABLE,617231.1087,11056cfe-b050-4742-bef9-e339244f9008_103
AVAILABLE,458966.3914,112057ab-0156-40b5-9805-3e9c8cda1c1f_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,1126cb7b-424a-47ee-a1ca-2a467db1ceef_103
AVAILABLE,2916733.5,114138b1-8acf-4db2-9cd1-37bbb80d13b8_103
AVAILABLE,1906277.575,114deb8e-afd9-4e55-88e8-74b103a429da_103
AVAILABLE,600000,1168f754-19ff-4c71-903e-41d7eaba1198_103
BLOCKED_BY_DELINQUENCY_THRESHOLD,0,116cf343-917a-4707-8936-e53440821e17_103
